tahun | type | asb_jenis | tipebangunan_id | klasifikasi_id | nama | spec | price_from | price_to | satuan | standar
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 100 juta hingga 150 juta | 0,060120 x 100 juta | 100000000 | 150000000 | Dok. | 6012000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 150 juta hingga 200 juta | 0,090180 x 150 juta | 150000000 | 200000000 | Dok. | 13527000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 200 juta hingga 250 juta | 0,120240 x 200 juta | 200000000 | 250000000 | Dok. | 24048000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 250 juta hingga 300 juta | 0,150300 x 250 juta | 250000000 | 300000000 | Dok. | 37575000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 300 juta hingga 350 juta | 0,150300 x 300 juta | 300000000 | 350000000 | Dok. | 45090000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 350 juta hingga 400 juta | 0,150300 x 350 juta | 350000000 | 400000000 | Dok. | 52605000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 400 juta hingga 500 juta | 0,150300 x 400 juta | 400000000 | 500000000 | Dok. | 60120000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 500 juta hingga 600 juta | 0,123900 x 500 juta | 500000000 | 600000000 | Dok. | 61950000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 600 juta hingga 700 juta | 0,123900 x 600 juta | 600000000 | 700000000 | Dok. | 74340000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 700 juta hingga 800 juta | 0,123900 x 700 juta | 700000000 | 800000000 | Dok. | 86730000
2023 | perencanaan | 1 | 1 | 1 | Perencanaan Konstruksi Fisik Pembangunan Gedung / Rumah Negara Sederhana dengan Biaya Konstruksi Fisik dari 800 juta hingga 1 Milyar | 0,123900 x 800 juta | 800000000 | 1000000000 | Dok. | 99120000
